State,LGA,Payment,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
New South Wales,Goulburn Mulwaree Council,Total Financial Assistance Grant (inc Early Payment),"$4,825,965","$5,042,082","$5,201,137","$5,268,707","$5,618,609","$6,065,350","$6,825,005"
New South Wales,Greater Hume Shire Council,Total Early Payment,"$2,455,291","$2,575,131","$2,772,029","$2,832,653","$2,891,045","$4,579,370","$6,807,059"
New South Wales,Greater Hume Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,962,679","$5,248,148","$5,443,975","$5,531,561","$5,868,230","$6,364,046","$7,174,156"
New South Wales,Griffith City Council,Total Early Payment,"$2,549,230","$2,674,302","$2,883,630","$2,957,379","$2,991,183","$4,796,082","$7,055,305"
New South Wales,Griffith City Council,Total Financial Assistance Grant (inc Early Payment),"$5,153,347","$5,455,157","$5,673,941","$5,750,725","$6,110,638","$6,597,810","$7,396,177"
New South Wales,Gunnedah Shire Council,Total Early Payment,"$2,108,423","$2,211,162","$2,372,830","$2,439,405","$2,456,112","$3,982,575","$5,849,944"
New South Wales,Gunnedah Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,261,115","$4,499,314","$4,674,057","$4,732,630","$5,045,798","$5,469,582","$6,188,623"
New South Wales,Gwydir Shire Council,Total Early Payment,"$2,130,102","$2,207,330","$2,421,194","$2,439,504","$2,569,585","$3,981,672","$6,051,440"
New South Wales,Gwydir Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,253,989","$4,542,007","$4,722,186","$4,838,279","$5,158,118","$5,656,303","$6,809,001"
New South Wales,Hawkesbury City Council,Total Early Payment,"$2,175,796","$2,273,179","$2,253,521","$2,314,247","$2,302,287","$3,591,700","$5,176,492"
New South Wales,Hawkesbury City Council,Total Financial Assistance Grant (inc Early Payment),"$4,380,704","$4,446,187","$4,436,429","$4,463,453","$4,637,223","$4,843,475","$5,279,328"
New South Wales,Hay Shire Council,Total Early Payment,"$1,387,853","$1,355,706","$1,555,267","$1,627,459","$1,724,278","$2,747,961","$4,132,632"
New South Wales,Hay Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,612,035","$2,855,578","$3,090,917","$3,237,952","$3,511,939","$3,863,175","$4,419,199"
New South Wales,Hilltops Council,Total Early Payment,"$3,769,117","$3,961,930","$4,171,450","$4,259,280","$4,323,845","$6,836,586","$10,062,735"
New South Wales,Hilltops Council,Total Financial Assistance Grant (inc Early Payment),"$7,634,947","$7,984,513","$8,189,542","$8,296,368","$8,769,264","$9,410,390","$10,517,613"
New South Wales,Hornsby Shire Council,Total Early Payment,"$2,219,700","$2,343,082","$2,217,059","$2,484,154","$2,321,386","$3,905,768","$5,470,049"
New South Wales,Hornsby Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,514,936","$4,481,118","$4,560,732","$4,651,858","$4,861,454","$5,117,811","$5,767,857"
New South Wales,Hunter's Hill Council,Total Early Payment,"$224,636","$231,297","$242,512","$250,292","$229,614","$407,303","$568,999"
New South Wales,Hunter's Hill Council,Total Financial Assistance Grant (inc Early Payment),"$445,703","$465,162","$478,652","$464,745","$494,536","$532,134","$592,856"
New South Wales,Inner West Council,Total Early Payment,"$2,844,000","$2,758,165","$2,750,266","$2,941,415","$2,844,158","$4,648,700","$6,603,268"
New South Wales,Inner West Council,Total Financial Assistance Grant (inc Early Payment),"$5,313,830","$5,410,499","$5,525,927","$5,597,828","$5,868,454","$6,178,414","$6,655,076"
New South Wales,Inverell Shire Council,Total Early Payment,"$2,771,587","$2,908,011","$3,116,444","$3,200,114","$3,225,058","$5,437,647","$7,835,183"
New South Wales,Inverell Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,603,962","$5,913,259","$6,135,368","$6,211,364","$6,760,484","$7,325,779","$8,281,713"
New South Wales,Junee Shire Council,Total Early Payment,"$1,326,128","$1,388,478","$1,502,275","$1,524,066","$1,554,137","$2,510,718","$3,694,745"
New South Wales,Junee Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,675,653","$2,837,171","$2,940,138","$2,975,250","$3,187,001","$3,454,607","$3,884,472"
New South Wales,Kempsey Shire Council,Total Early Payment,"$2,833,318","$2,970,634","$3,145,808","$3,251,995","$3,155,516","$5,370,738","$7,683,132"
New South Wales,Kempsey Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,724,406","$6,004,303","$6,214,002","$6,198,866","$6,648,248","$7,184,314","$8,127,363"
New South Wales,Kiama Municipal Council,Total Early Payment,"$769,210","$823,542","$879,307","$881,232","$921,700","$1,459,798","$2,159,118"
New South Wales,Kiama Municipal Council,Total Financial Assistance Grant (inc Early Payment),"$1,586,950","$1,671,503","$1,710,777","$1,741,893","$1,871,291","$2,019,086","$2,266,786"
New South Wales,Ku-Ring-Gai Council,Total Early Payment,"$1,819,335","$1,875,600","$1,906,839","$1,982,602","$1,955,941","$3,145,377","$4,521,550"
New South Wales,Ku-Ring-Gai Council,Total Financial Assistance Grant (inc Early Payment),"$3,614,164","$3,714,465","$3,777,416","$3,809,126","$4,001,618","$4,229,984","$4,673,043"
New South Wales,Kyogle Council,Total Early Payment,"$2,036,293","$2,136,043","$2,295,707","$2,373,295","$2,376,071","$3,880,896","$5,694,742"
New South Wales,Kyogle Council,Total Financial Assistance Grant (inc Early Payment),"$4,116,442","$4,349,797","$4,534,467","$4,591,762","$4,899,468","$5,324,303","$6,058,925"
New South Wales,Lachlan Council,Total Early Payment,"$4,309,727","$4,520,838","$4,701,812","$4,955,782","$4,976,901","$8,025,275","$11,718,061"
New South Wales,Lachlan Council,Total Financial Assistance Grant (inc Early Payment),"$8,712,172","$9,054,764","$9,376,722","$9,602,364","$10,195,001","$10,957,829","$12,365,761"
New South Wales,Lake Macquarie City Council,Total Early Payment,"$7,869,374","$8,246,326","$8,273,122","$8,636,937","$8,420,009","$13,402,343","$19,246,474"
New South Wales,Lake Macquarie City Council,Total Financial Assistance Grant (inc Early Payment),"$15,888,548","$16,225,448","$16,424,972","$16,503,415","$17,141,905","$18,009,852","$20,055,911"
New South Wales,Lane Cove Municipal Council,Total Early Payment,"$504,394","$531,688","$580,032","$577,376","$597,277","$960,555","$1,407,034"
New South Wales,Lane Cove Municipal Council,Total Financial Assistance Grant (inc Early Payment),"$1,024,517","$1,091,065","$1,124,846","$1,135,220","$1,222,170","$1,315,886","$1,476,678"
New South Wales,Leeton Shire Council,Total Early Payment,"$1,981,160","$2,079,041","$2,268,985","$2,322,062","$2,371,810","$3,819,396","$5,659,358"
New South Wales,Leeton Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,006,089","$4,267,271","$4,460,204","$4,537,491","$4,856,668","$5,291,484","$6,021,658"
New South Wales,Lismore City Council,Total Early Payment,"$3,047,553","$3,197,160","$3,216,689","$3,371,372","$3,287,442","$5,306,423","$7,663,451"
New South Wales,Lismore City Council,Total Financial Assistance Grant (inc Early Payment),"$6,160,901","$6,299,158","$6,397,461","$6,441,168","$6,738,435","$7,168,177","$8,070,214"
New South Wales,Liverpool City Council,Total Early Payment,"$4,527,944","$4,515,684","$4,470,573","$4,585,429","$4,582,865","$7,161,474","$10,308,623"
New South Wales,Liverpool City Council,Total Financial Assistance Grant (inc Early Payment),"$8,700,267","$8,827,031","$8,797,339","$8,865,524","$9,241,197","$9,646,346","$10,527,843"
New South Wales,Liverpool Plains Shire Council,Total Early Payment,"$1,736,411","$1,820,937","$1,977,759","$2,016,220","$2,056,399","$3,300,102","$4,883,174"
New South Wales,Liverpool Plains Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,509,163","$3,728,094","$3,879,713","$3,936,166","$4,202,210","$4,565,418","$5,166,690"
New South Wales,Lockhart Shire Council,Total Early Payment,"$1,864,331","$1,715,366","$1,870,785","$1,890,769","$1,981,758","$3,068,094","$4,596,499"
New South Wales,Lockhart Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,305,426","$3,519,350","$3,654,320","$3,740,986","$3,976,539","$4,297,799","$4,841,606"
New South Wales,Lord Howe Island Board,Total Early Payment,"$104,693","$108,445","$112,306","$116,301","$116,003","$204,986","$330,121"
New South Wales,Lord Howe Island Board,Total Financial Assistance Grant (inc Early Payment),"$208,907","$216,776","$222,127","$224,748","$249,511","$307,994","$346,138"
New South Wales,Maitland City Council,Total Early Payment,"$3,372,195","$3,541,028","$3,585,061","$3,724,291","$3,655,615","$5,815,747","$8,383,088"
New South Wales,Maitland City Council,Total Financial Assistance Grant (inc Early Payment),"$6,822,792","$6,998,594","$7,099,925","$7,139,200","$7,439,806","$7,843,431","$8,758,281"
New South Wales,Mid-Coast Council,Total Early Payment,"$8,579,214","$8,999,155","$9,139,079","$9,498,628","$9,367,411","$14,927,320","$21,630,941"
New South Wales,Mid-Coast Council,Total Financial Assistance Grant (inc Early Payment),"$17,341,151","$17,812,423","$18,100,989","$18,246,074","$19,075,672","$20,233,938","$22,749,608"
New South Wales,Mid-Western Regional Council,Total Early Payment,"$3,005,286","$3,158,375","$3,385,734","$3,483,336","$3,501,034","$5,615,169","$8,313,344"
New South Wales,Mid-Western Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,086,583","$6,423,213","$6,671,561","$6,751,886","$7,151,923","$7,771,889","$8,774,095"
New South Wales,Moree Plains Shire Council,Total Early Payment,"$3,601,880","$3,774,727","$4,089,539","$4,104,599","$4,316,566","$6,625,444","$9,901,446"
New South Wales,Moree Plains Shire Council,Total Financial Assistance Grant (inc Early Payment),"$7,274,387","$7,718,269","$7,961,392","$8,134,720","$8,624,277","$9,259,379","$10,416,433"
New South Wales,Mosman Municipal Council,Total Early Payment,"$432,698","$444,753","$465,646","$482,470","$473,209","$799,515","$1,141,251"
New South Wales,Mosman Municipal Council,Total Financial Assistance Grant (inc Early Payment),"$856,980","$893,817","$920,897","$924,437","$993,327","$1,067,384","$1,152,933"
New South Wales,Murray River Council,Total Early Payment,"$3,908,223","$4,098,850","$4,307,972","$4,457,274","$4,333,263","$7,135,257","$10,393,737"
New South Wales,Murray River Council,Total Financial Assistance Grant (inc Early Payment),"$7,898,844","$8,253,057","$8,512,690","$8,503,424","$8,972,676","$9,717,139","$10,933,238"
New South Wales,Murrumbidgee Council,Total Early Payment,"$2,090,995","$2,134,116","$2,308,901","$2,420,336","$2,468,714","$3,958,770","$5,846,225"
New South Wales,Murrumbidgee Council,Total Financial Assistance Grant (inc Early Payment),"$4,112,532","$4,360,600","$4,592,044","$4,725,338","$5,042,745","$5,466,059","$6,181,962"
New South Wales,Muswellbrook Shire Council,Total Early Payment,"$1,639,882","$1,718,960","$1,819,128","$1,885,484","$1,871,908","$3,115,017","$4,506,376"
New South Wales,Muswellbrook Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,312,308","$3,473,312","$3,598,255","$3,633,823","$3,898,327","$4,214,080","$4,751,677"
New South Wales,Nambucca Valley Council,Total Early Payment,"$1,850,950","$1,941,811","$2,073,211","$2,129,024","$2,132,912","$3,520,253","$5,112,385"
